Graph_ID,Vertices,Edges,Kruskal_Cost,Prim_Cost,PrimOpt_Cost,All_Costs_Match,Kruskal_Edges,Prim_Edges,PrimOpt_Edges,Edges_OK,Kruskal_Time_ms,Prim_Time_ms,PrimOpt_Time_ms,Kruskal_Ops,Prim_Ops,PrimOpt_Ops
1,29,331,114.00,114.00,114.00,YES,28,28,28,YES,9.940,6.367,1.707,662,663,1653
2,25,198,116.00,116.00,116.00,YES,24,24,24,YES,0.868,0.856,0.184,396,397,1225
3,21,126,102.00,102.00,102.00,YES,20,20,20,YES,4.239,0.448,0.161,252,253,861
4,17,100,75.00,75.00,75.00,YES,16,16,16,YES,0.235,0.439,0.100,200,201,561
5,13,62,88.00,88.00,88.00,YES,12,12,12,YES,0.121,0.250,0.079,124,125,325
6,50,777,309.00,309.00,309.00,YES,49,49,49,YES,1.962,2.605,0.751,1554,1555,4950
7,80,2184,711.00,711.00,711.00,YES,79,79,79,YES,4.279,7.136,0.972,4368,4369,12720
8,100,3454,1094.00,1094.00,1094.00,YES,99,99,99,YES,3.092,7.782,1.319,6908,6909,19900
9,120,5084,1556.00,1556.00,1556.00,YES,119,119,119,YES,3.835,13.627,1.706,10168,10169,28680
10,140,6801,2092.00,2092.00,2092.00,YES,139,139,139,YES,4.121,20.464,2.350,13602,13603,39060
11,160,9018,2692.00,2692.00,2692.00,YES,159,159,159,YES,4.746,14.737,2.649,18036,18037,51040
12,180,11047,3468.00,3468.00,3468.00,YES,179,179,179,YES,3.938,10.077,1.637,22094,22095,64620
13,200,14149,4196.00,4196.00,4196.00,YES,199,199,199,YES,8.581,7.677,0.833,28298,28299,79800
14,250,22314,6481.00,6481.00,6481.00,YES,249,249,249,YES,12.257,19.896,1.263,44628,44629,124750
15,280,27449,8137.00,8137.00,8137.00,YES,279,279,279,YES,14.438,28.168,1.649,54898,54899,156520
16,320,36351,10582.00,10582.00,10582.00,YES,319,319,319,YES,17.455,17.113,2.095,72702,72703,204480
17,370,47903,14131.00,14131.00,14131.00,YES,369,369,369,YES,13.839,22.991,2.947,95806,95807,273430
18,400,55190,16423.00,16423.00,16423.00,YES,399,399,399,YES,13.117,32.000,1.839,110380,110381,319600
19,450,70161,20695.00,20695.00,20695.00,YES,449,449,449,YES,21.192,56.600,2.063,140322,140323,404550
20,500,87311,25543.00,25543.00,25543.00,YES,499,499,499,YES,22.592,63.341,3.400,174622,174623,499500
21,550,108592,30809.00,30809.00,30809.00,YES,549,549,549,YES,32.386,80.970,2.831,217184,217185,604450
22,600,124088,36627.00,36627.00,36627.00,YES,599,599,599,YES,35.236,107.382,3.708,248176,248177,719400
23,650,146195,42995.00,42995.00,42995.00,YES,649,649,649,YES,41.833,82.341,3.193,292390,292391,844350
24,800,226529,64784.00,64784.00,64784.00,YES,799,799,799,YES,76.633,130.786,6.949,453058,453059,1279200
25,950,310864,91225.00,91225.00,91225.00,YES,949,949,949,YES,80.633,237.646,6.619,621728,621729,1804050
26,1100,428520,122119.00,122119.00,122119.00,YES,1099,1099,1099,YES,134.205,367.938,9.837,857040,857041,2418900
27,1500,787202,226520.00,226520.00,226520.00,YES,1499,1499,1499,YES,211.291,851.730,14.491,1574404,1574405,4498500
28,2000,1397434,402141.00,402141.00,402141.00,YES,1999,1999,1999,YES,437.253,1568.854,24.703,2794868,2794869,7998000
